"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed
Capacity"
"33W-HEC-TIKVES-8","TIKVES","25.08.2015","Infinity","COMMISSIONED","B12","MK","114.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33WHECTIKVESG4-V","TIKVES G4","COMMISSIONED","B12","MK","28.50"
"33W-HEC-TIKVES-8","TIKVES","25.08.2015","Infinity","COMMISSIONED","B12","MK","114.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33WHECTIKVESG3-Y","TIKVES G3","COMMISSIONED","B12","MK","28.50"
"33W-HEC-TIKVES-8","TIKVES","25.08.2015","Infinity","COMMISSIONED","B12","MK","114.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33WHECTIKVESG2-0","TIKVES G2","COMMISSIONED","B12","MK","28.50"
"33W-HEC-TIKVES-8","TIKVES","25.08.2015","Infinity","COMMISSIONED","B12","MK","114.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33WHECTIKVESG1-3","TIKVES G1","COMMISSIONED","B12","MK","28.50"
"33W-HEC-VRUTOK-B","VRUTOK","25.08.2015","Infinity","COMMISSIONED","B12","MK","150.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-HECVRUTOKG45","VRUTOK G4","COMMISSIONED","B12","MK","37.50"
"33W-HEC-VRUTOK-B","VRUTOK","25.08.2015","Infinity","COMMISSIONED","B12","MK","150.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-HECVRUTOKG37","VRUTOK G3","COMMISSIONED","B12","MK","37.50"
"33W-HEC-VRUTOK-B","VRUTOK","25.08.2015","Infinity","COMMISSIONED","B12","MK","150.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-HECVRUTOKG29","VRUTOK G2","COMMISSIONED","B12","MK","37.50"
"33W-HEC-VRUTOK-B","VRUTOK","25.08.2015","Infinity","COMMISSIONED","B12","MK","150.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-HECVRUTOKG1B","VRUTOK G1","COMMISSIONED","B12","MK","37.50"
"33WTEC-NEGOTINOT","TEC Negotino","27.03.2023","Infinity","COMMISSIONED","B06","Negotino, MK","165.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-TECNEGOTINOD","Negotino_G1","COMMISSIONED","B06","Negotino, MK","165.00"
"33W--TEC-TE-TO-B","TE-TO","25.08.2015","Infinity","COMMISSIONED","B04","MK","251.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-TE-TO-GEN2-B","TE-TO G2","CANCELLED","B04","MK","76.00"
"33W--TEC-TE-TO-B","TE-TO","25.08.2015","Infinity","COMMISSIONED","B04","MK","251.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33W-TE-TO-GEN1-E","TE-TO G1","COMMISSIONED","B04","MK","175.00"
"33W-TECOSLOMEJ-7","OSLOMEJ","25.08.2015","Infinity","COMMISSIONED","B02","MK","125.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","110.00","33WTECOSLOMEJG1V","OSLOMEJ G1","COMMISSIONED","B02","MK","125.00"
"33W-TEC-BITOLA-F","BITOLA","25.08.2015","Infinity","COMMISSIONED","B02","MK","699.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","400.00","33W-TECBITOLAG1Q","BITOLA G1","COMMISSIONED","B02","MK","233.00"
"33W-TEC-BITOLA-F","BITOLA","25.08.2015","Infinity","COMMISSIONED","B02","MK","699.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","400.00","33W-TECBITOLAG2O","BITOLA G2","COMMISSIONED","B02","MK","233.00"
"33W-TEC-BITOLA-F","BITOLA","25.08.2015","Infinity","COMMISSIONED","B02","MK","699.00","10YMK-MEPSO----8","10YMK-MEPSO----8","","400.00","33W-TECBITOLAG3M","BITOLA G3","COMMISSIONED","B02","MK","233.00"
